tag_number,Shut-off Pressures P1 / P2,Power Failure Pos.,Manufacturer / Model,Body Style,Required Travel / Angle,Bench Range,Plug/Stem MAT,Butterfly/Shaft MAT,Seat/Guide MAT,Seat Diameter,Trim Coating,Leakage Class,Packing MAT
LV-308513A,31 /1.0 BAR A,FC,FISHER-GULDE/1018.01,GLOBE VALVE,32 MM,0.7…1.8 BAR G,1.4571,,1.4571,80 MM,,IV,TFE-03
LV-308513B,31 /1.0 BAR A,FC,FISHER-GULDE/1018.00,GLOBE VALVE,32 MM,1.0…2.4 BAR,1.4571,,1.4571,40 MM,PARTLY STELLITED,IV,TFE-03
LV-309501,21.0 /1.0 BAR A,FC,FISHER-GULDE/1018.00,GLOBE VALVE,32 MM,1.35…2.25 BAR,1.4571,,1.4571,80 MM,PARTLY STELLITED,IV,TFE-03
LV-309503,21.0 / 1.0 BAR G,FC,FISHER-GULDE/1018.00,GLOBE VALVE,32 MM,1.0…2.4 BAR,1.4571,,1.4571,50 MM,COMPLETE STELLITED,IV,TFE-03
LV-309506,21.0 / 1.0 BAR G,FC,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,1.3…2.3 BAR G,1.4571,,1.4571,20 MM,PARTLY STELLITED,IV,PTFE-GRAPHITE
LV-309508,21.0 / 1.0 BAR A,FC,FISHER-GULDE/1018.00,GLOBE VALVE,16 MM,1.3…2.3 BAR G,1.4571,,1.4571,6 MM,COMPLETE STELLITED,IV,TFE-03
LV-309511A,15.0 / 1.0 BAR A,FO,FISHER-GULDE/1018.00S,GLOBE VALVE,32 MM,0.2…1.0 BAR G,1.4571,,1.4571,40 MM,,IV,PTFE-GRAPHITE
LV-309511B,15.0 / 1.0 BAR A,FO,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,0.2…1.0 BAR G,1.4571,,1.4571,20 MM,PARTLY STELLITED,V,PTFE-GRAPHITE
LV-310501,31.0 /1.0 BAR A,FC,FISHER-GULDE/EZ,GLOBE VALVE,19 MM,0.6…2.4 BAR,316SST  ,,316SST,6.4 MM,,IV,TFE
LV-310503,208 /1.0 BAR A,FC,FISHER-GULDE/1051.79,ANGLE VALVE,16 MM,1.0…2.4 BAR,1.4122/1.4571,,1.4122,8 MM,,IV,TFE-03
LV-310509,52 /1 BAR A,FC,FISHER-GULDE/1051.00,ANGLE VALVE,16 MM,1.5…2.4 BAR G,1.4122/1.4571,,1.4122,6 MM,,IV,SET-81
LV-320504A,15.0 /1.0 BAR A,FO,FISHER-GULDE/1018.00S,GLOBE VALVE,32 MM,0.2…1.0 BAR G,1.4571,,1.4571,50 MM,,IV,PTFE-GRAPHITE
LV-320504B,15.0 /1.0 BAR A,FO,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,0.2...1.0 BAR G,1.4571,,1.4571,20 MM,COMPLETE STELLITED,V,TFE-V RING (VACUUM)
LV-320505,,,,,,,,,,,,,
LV-320511,,,,,,,,,,,,,
LV-320515,,,,,,,,,,,,,
LV-320520,,,,,,,,,,,,,
LV-320520B,,,,,,,,,,,,,
LV-320525,,,,,,,,,,,,,
LV-322501,172.0 /1.0 BAR A,FC,FISHER-GULDE/1089.10,ANGLE VALVE,32 MM,1.7…2.3 BAR G,FERRAL IUM 255,,FERRAL IUM 255,40 MM,,IV,AROSTAT 6204
LV-322502,5.0 /0.1 BAR A,FC,FISHER-GULDE/1013.00,GLOBE VALVE,32 MM,1.0…2.4 BAR C,1.4571,,1.4571,,,IV,TFE-03
LV-323501,10.0 /0.1 BAR A,FC,FISHER-GULDE/1018.00S,GLOBE VALVE,45 MM,1.2…2.0 BAR G,1.4404,,1.4404,120 MM,PARTLY STELLITED,IV,TFE-03
LV-323503,13.0 /1.0 BAR A,FC,FISHER-GULDE/1018.00,GLOBE VALVE,16 MM,1.5…2.4 BAR G,1.4404,,1.4404,40 MM,,IV,TFE-03
LV-323505,10.0 /1.0 BAR A,FC,FISHER-GULDE/1018.00,GLOBE VALVE,45 MM,1.0…2.2 BAR G,1.4404,,1.4404,120 MM,,IV,TFE-03
LV-328501,13.0 /1.0 BAR A,FO,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,0.2…1.0 BAR G,1.4404,,1.4404,25 MM,,IV,TFE-03
LV-328503,34.0 /1.0 BAR A,FC,FISHER-GULDE/EWT,GLOBE VALVE,29 MM,0.7…2.3 BAR,316SST,,316SST,58.3 MM,,IV,TFE  
LV-328504,26.0 / 1.0 BAR A,FC,FISHER-GULDE/EWT,GLOBE VALVE,29 MM,0.7…2.3 BAR,316SST,,316SST,58.3 MM,,IV,TFE  
LV-328505,9.0 /1.0 BAR A,FC,FISHER-GULDE/1018.00S,GLOBE VALVE,45 MM,1.0…2.2 BAR G,1.4571,,1.4571,120 MM,,IV,TFE
LV-329502,25.0 /1.0 BAR A,FC,FISHER-GULDE/1018.00,GLOBE VALVE,32 MM,1.3...2.2 BAR G,1.4571,,1.4571,80 MM,PARTLY STELLITED,IV,TFE-03
LV-329503,12.0 /1.0 BAR A,FC,FISHER-GULDE/1018.00,GLOBE VALVE,32 MM,1.35...2.25 BAR G,1.4571,,1.4571,80 MM,PARTLY STELLITED,IV,TFE-03
LV-329504,16.0 / 1.0 BAR A,FC,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,1.5…2.4 BAR G,1.4571,,1.4571,50 MM,,IV,PTFE-GRAPHITE
LV-329505,7.0 / 1.0 BAR A,FC,FISHER-GULDE/1018.00S,GLOBE VALVE,32 MM,1.4…3.2 BAR G,1.4571,,1.4571,95 MM,PARTLY STELLITED,IV,PTFE-GRAPHITE
LV-329506A,16.0 /1.0 BAR A,FC,FISHER-GULDE/1018.00S,GLOBE VALVE,32 MM,1.4…3.2 BAR G,1.4571,,1.4571,65 MM,,IV,PTFE-GRAPHITE
LV-329506B,5.5 /1.0 BAR A,FO,FISHER-GULDE/1018.00,GLOBE VALVE,32 MM,0.2…1.0 BAR G,1.4571,,1.4571,80 MM,PARTLY STELLITED,IV,TFE-03
LV-335501B,,,,,,,,,,,,,
LV-335505,9.0 /1.0 BAR A,FC,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,1.5…2.4 BAR G,1.4571,,1.4571,25 MM,PARTLY STELLITED,IV,PTFE-GRAPHITE
LV-335508,8.0 /1.0 BAR A,FC,FISHER-CULDE/1018.00S,GLOBE VALVE,16 MM,1.5...2.4 BAR G,1.4571,,1.4571,40 MM,,IV,PTFE-GRAPHITE
LV-335509,7.0 /1.0 BAR A,FC,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,1.5...2.4 BAR C,1.4306,,1.4306,30 MM,,IV,TFE-03
