Factory,Tag_Number,Date,Work_Done,Test,Technician
AFC 2,LV-21520,7/7/2020 0:00,Change the valve by new one,,
AFC 2,LV-21520,11/1/2022 0:00,Change Gasket Of Bottom Flange,,
AFC 2,LV-21551,8/10/2015 0:00,Pressure and movement test are ok.,,
AFC 2,LV-21551,21-8-2019,leak test and its movement,,
AFC 2,LV-31501,29-8-2019,Check for leak through and movement,,
AFC 2,LV-32511,3/10/2015 0:00,"Leakage through found 120 ml/min is greater than the accepted value, dismantle internals for machining.",,
AFC 2,LV-32511,27-8-2019,"Machining for plug and change seat, leak test and check movement",,
AFC 2,LV-32511,1/1/2023 0:00,"Machining for plug and change seat, Packing, leak test and check movement, Change Bushing New Desing",,
AFC 2,LV-32517,20-8-2019,cleaning valve internal and check its movement,,
AFC 2,LV-32517,8/1/2020 0:00,cleaning valve internal and check its movement,,
AFC 2,LV-32517,2/1/2021 0:00,"Change ""1"" O-ring Seal",,
AFC 2,LV-32517,7/1/2022 0:00,Change With Another One,,
AFC 2,LV-32517,20/11/2022,Flushing,,
AFC 2,LV-32567,20-8-2019,"cleaning the valve, check its movement",,
AFC 2,LV-32567,2/1/2021 0:00,"Change ""1"" O-ring Seal",,
AFC 2,LV-32567,10/1/2021 0:00,Change With Another One,,
AFC 2,LV-32567,8/1/2022 0:00,Flushing,,
AFC 2,LV-32567,11/1/2022 0:00,Change With Another One,,
AFC 2,LV-32567,11/1/2022 0:00,Flushing,,
AFC 2,LV-32567,12/1/2022 0:00,Flushing,,
AFC 2,LV-32573,9/10/2015 0:00,"Pressure and movement test are ok, replace actuator due to air leakage.",,
AFC 2,LV-81501,28-4-2020,Check for movement in workshop,,
AFC 2,LV-82501,28-6-2015,"Dismantle valves from pipe line, check for movement and internals found OK, valve opening adjusted to 90 deg. by releasing the opening stopper.",,
AFC 2,LV-85501,12/10/2015 0:00,"Replace valve body with pre-maintained valve, due to leakage.",,
AFC 2,LV-83551,10/10/2015 0:00,"Tight gland, Check for valve movement and pressure test up to 65 bar found OK in presence of Dr. Qinawy, and we inform operation stuff to check the manual bypass that may cause the leakage.",,
AFC 2,LV-83551,23-8-2019,"Dismount, send its internal to workshop, Machining for internal and maintain its hand wheel",,
AFC 2,LV-83551,7/7/2020 0:00,Machining for Plug and seat,,
AFC 2,LV-89501,22-8-2019,Clean the valve and check its movement,,
AFC 2,LV-89508,25-8-2019,Clean the valve and check movement,,
AFC 2,PCV-21387,2/1/2021 0:00,Check And Adjustment,,
AFC 2,PCV-83213,26-8-2019,Adjust its range and check for body leakage,,
AFC 2,PV-03231A,11/10/2015 0:00,"Leakage through found, adjustment for bonnet and cage, replace plug, seat, stem, packing and gaskets, pressure test is ok.",,
AFC 2,PV-03231B,11/10/2015 0:00,"Leakage through found,adjustment for bonnet and cage, replace plug, seat, stem, packing and gaskets, pressure test is ok.",,
AFC 2,PV-03239,12/10/2015 0:00,Change actuator bushing due to air leakage,,
AFC 2,PV-03260,6/10/2015 0:00,"Dismantle internals for machining, due to the leakage found , Replace actuator bushing, plug and seat machining, change gasket and packing, pressure test up to 130 bar is ok , Assemble after seat, plug and bottom face machining, but small leakage found, replace seat by new one, re machining for plug, change packing and gaskets, pressure and movement test are ok.",,
AFC 2,PV-03260,24-8-2019,Dismount and send to workshop,,
AFC 2,PV-03260,28-8-2019,"Machining for plug and change seat, leak test and check movement",,
AFC 2,PV-03260,7/7/2020 0:00,Change actuator by another one,,
AFC 2,PV-03270,11/2/2021 0:00,gland tighet,,
AFC 2,PV-04204,28-8-2019,Dismount the valve and send internal to work shop,,
AFC 2,PV-05201,28-8-2019,Check the new valve to be mounting,,
AFC 2,PV-05236A,26-8-2019,Maintain for its hand wheel and check for its movement,,
AFC 2,PV-05236B,26-8-2019,Maintain for its hand wheel and check for its movement,,
AFC 2,PV-06205,27-8-2019,Check for leak through and movement,,
AFC 2,PV-10201B,15-10-2015,Replace actuator bushing at field.,,
AFC 2,PV-10201B,29-8-2019,"Change for plug, seat, and diaphragm and bushing,leak test and check movement",,
AFC 2,PV-10201B,6/10/2022 0:00,change diaphram,,
AFC 2,PV-10202A,8/10/2020 0:00,check,,
AFC 2,PV-10202A,24/4/2021,check found problem in condenser,,
AFC 2,PV-10202A,11/1/2022 0:00,Gland Tighted,,
AFC 2,PV-10202A,12/1/2021 0:00,Gland Tighted,,
AFC 2,PV-10203A,28-6-2015,Change actuator bushing due to air leakage.,,
AFC 2,PV-21251B,22-8-2019,"Dismount, send its internal to workshop",,
AFC 2,PV-21303,28-6-2015,"Change plug/ stem assembly, guide bushing and key due to some erosion on the old plug guide, weld guide bushing of the bottom flange after adjust the alignment, also we change gaskets and packing, movement test is OK.",,
AFC 2,PV-21303,26-8-2019,"Dismount, send its internal to workshop, Change plug and seat,leak test and check movement",,
AFC 2,PV-21303,24/12/2020,gland Tighte,,
AFC 2,PV-21303,1/1/2023 0:00,Machening For Seat & Change Plug With New & Bushing & Packing,,
AFC 2,PV-21340,2/1/2021 0:00,Change Body With Another One & spool's spring,,
AFC 2,PV-31207,5/10/2015 0:00,"Heavy leakage through found at pressure test, dismantle internals for machining , Assemble the valve after plug, seat cage machining, replace gasket, packing and plug seal ring, pressure test and movement are ok.",,
AFC 2,PV-31207,29-8-2019,Check for leak through and movement,,
AFC 2,PV-31213,2/10/2015 0:00,"The leakage through found (150 ml/min) is more than the accepted value (16 ml/min), dismantle valve internals plug, seat and body for machining, working in actuator maintenance.",,
AFC 2,PV-31213,21-8-2019,"Change bushing, check its movement",,
AFC 2,PV-31213,9/5/2021 0:00,check,,
AFC 2,PV-31213,1/1/2023 0:00,Check,,
