warehouse_number,sap_code,oracle_code,condition,description,part_number,tag_number,MANUFATURE_CO,unit_of_measure,category
10,2200001175,0190546800000100,NEW,Pitot Tube Dn:200 Pn:10,25-DN41-64SITZQ000,,,PC,ZSPR
10,2200001176,0190546800000110,NEW,Air Supply Regulator For The Fv-51005,51005, FV-51005,,PC,ZSPR
10,2200001177,0190546800008110,NEW,Lv-54v003b Type : Packing -Posno.20011,20011,LV-54003B,,PC,ZSPR
10,2200001178,0190546800008120,NEW,Lv-54v003b Type : Gasket -Posno.20010,20010,LV-54003B,,PC,ZSPR
10,2200001179,0190546800008130,NEW,Lv-54v003b Type : Diaphragm-Posno.20012,25-DN41-64SITZQ000,LV-54003B ,,PC,ZSPR
10,2200001180,0190546800008150,NEW,Lv-54v006b Type : Gasket-Posno.20013,25-DN41-64SITZQ000,LV-54006B,,PC,ZSPR
10,2200001181,0190546800008160,NEW,Lv-54v006b Type : Diaphragm-Posno.20015,25-DN41-64SITZQ000,LV-54006B,,PC,ZSPR
10,2200001182,0190546800008170,NEW,Lv-54v010b Type : Packing -Posno.20017,20017,LV-54010B ,,PC,ZSPR
10,2200001183,0190546800008180,NEW,Lv-54v010b Type : Gasket-Posno.20016,25-DN41-64SITZQ000,LV-54010B ,,PC,ZSPR
10,2200001184,0190546800008190,NEW,Lv-54v010b Type : Diaphragm-Posno.20018,25-DN41-64SITZQ000,LV-54010B ,,PC,ZSPR
10,2200001185,0190546800008200,NEW,Lv-54v025 Type : Packing -Posno.20020,20020,LV-54025,,PC,ZSPR
10,2200001186,0190546800008210,NEW,Lv-54v025 Type : Gasket-Posno.20019,25-DN41-64SITZQ000,LV-54025,,PC,ZSPR
10,2200001187,0190546800008220,NEW,Lv-54v025 Type : Diaphragm-Posno.20021,25-DN41-64SITZQ000,LV-54025,,PC,ZSPR
10,2200001188,0190546800008230,NEW,Lv-54v030 Type : Packing -Posno.20023,20023,LV-54030,,PC,ZSPR
10,2200001189,0190546800008240,NEW,Lv-54v030 Type : Gasket-Posno.20022,25-DN41-64SITZQ000,LV-54030,,PC,ZSPR
10,2200001190,0190546800008250,NEW,Lv-54v030 Type : Diaphragm-Posno.20024,25-DN41-64SITZQ000,LV-54030,,PC,ZSPR
10,2200001191,0190546800008260,NEW,Lv-54v032 Type : Packing -Posno.20026,20026,LV-54032,,PC,ZSPR
10,2200001192,0190546800008270,NEW,Lv-54v032 Type : Gasket-Posno.20024,25-DN41-64SITZQ000,LV-54032,,PC,ZSPR
10,2200001193,0190546800008280,NEW,Lv-54v032 Type : Diaphragm-Posno.20027,25-DN41-64SITZQ000,LV-54032,,PC,ZSPR
10,2200001194,0190546800008290,NEW,Lv-54v034 Type : Packing -Posno.20029,20029,LV-54034,,PC,ZSPR
10,2200001195,0190546800008300,NEW,Lv-54v034 Type : Gasket-Posno.20028,25-DN41-64SITZQ000,LV-54034,,PC,ZSPR
